"No.","Time","Source","Destination","Protocol","Length","Info"
"204","17.944549","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=43009 Ack=1 Win=2048 Len=1024"
"205","17.948740","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=44033 Ack=1 Win=2048 Len=1024"
"207","17.953338","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=45057 Ack=1 Win=2048 Len=1024"
"208","17.958547","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=46081 Ack=1 Win=2048 Len=1024"
"210","17.963298","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=47105 Ack=1 Win=2048 Len=1024"
"211","17.967497","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=48129 Ack=1 Win=2048 Len=1024"
"213","17.971787","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=49153 Ack=1 Win=2048 Len=1024"
"214","17.974154","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=50177 Ack=1 Win=2048 Len=1024"
"216","17.976956","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=51201 Ack=1 Win=2048 Len=1024"
"217","17.979169","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=52225 Ack=1 Win=2048 Len=1024"
"219","17.983299","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=53249 Ack=1 Win=2048 Len=1024"
"220","17.987345","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=54273 Ack=1 Win=2048 Len=1024"
"222","17.992557","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=55297 Ack=1 Win=2048 Len=1024"
"223","17.996753","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=56321 Ack=1 Win=2048 Len=1024"
"225","18.000927","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=57345 Ack=1 Win=2048 Len=1024"
"226","18.005172","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=58369 Ack=1 Win=2048 Len=1024"
"228","18.009536","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=59393 Ack=1 Win=2048 Len=1024"
"229","18.014585","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=60417 Ack=1 Win=2048 Len=1024"
"231","18.019152","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=61441 Ack=1 Win=2048 Len=1024"
"232","18.023536","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=62465 Ack=1 Win=2048 Len=1024"
"234","18.028590","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=63489 Ack=1 Win=2048 Len=1024"
"235","18.032766","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=64513 Ack=1 Win=2048 Len=1024"
"237","18.036976","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=65537 Ack=1 Win=2048 Len=1024"
"238","18.041357","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=66561 Ack=1 Win=2048 Len=1024"
"240","18.045400","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=67585 Ack=1 Win=2048 Len=1024"
"241","18.050597","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=68609 Ack=1 Win=2048 Len=1024"
