"No.","Time","Source","Destination","Protocol","Length","Info"
"73","3.039154","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=43009 Ack=1 Win=2048 Len=1024"
"74","3.040470","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=44033 Ack=1 Win=2048 Len=1024"
"76","3.042675","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=45057 Ack=1 Win=2048 Len=1024"
"77","3.043308","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=46081 Ack=1 Win=2048 Len=1024"
"79","3.044752","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=47105 Ack=1 Win=2048 Len=1024"
"80","3.045767","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=48129 Ack=1 Win=2048 Len=1024"
"82","3.047666","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=49153 Ack=1 Win=2048 Len=1024"
"83","3.048693","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=50177 Ack=1 Win=2048 Len=1024"
"85","3.050556","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=51201 Ack=1 Win=2048 Len=1024"
"86","3.052129","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=52225 Ack=1 Win=2048 Len=1024"
"88","3.054289","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=53249 Ack=1 Win=2048 Len=1024"
"89","3.054920","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=54273 Ack=1 Win=2048 Len=1024"
"91","3.056526","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=55297 Ack=1 Win=2048 Len=1024"
"92","3.057176","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=56321 Ack=1 Win=2048 Len=1024"
"94","3.058717","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=57345 Ack=1 Win=2048 Len=1024"
"95","3.059368","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=58369 Ack=1 Win=2048 Len=1024"
"97","3.061378","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=59393 Ack=1 Win=2048 Len=1024"
"98","3.062171","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=60417 Ack=1 Win=2048 Len=1024"
"100","3.064100","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=61441 Ack=1 Win=2048 Len=1024"
"101","3.065361","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=62465 Ack=1 Win=2048 Len=1024"
"103","3.067585","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=63489 Ack=1 Win=2048 Len=1024"
"104","3.068228","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=64513 Ack=1 Win=2048 Len=1024"
"106","3.069658","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=65537 Ack=1 Win=2048 Len=1024"
"107","3.070481","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=66561 Ack=1 Win=2048 Len=1024"
"109","3.072612","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=67585 Ack=1 Win=2048 Len=1024"
"110","3.073430","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=68609 Ack=1 Win=2048 Len=1024"
"112","3.074743","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=69633 Ack=1 Win=2048 Len=1024"
"113","3.076322","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=70657 Ack=1 Win=2048 Len=1024"
"115","3.078494","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=71681 Ack=1 Win=2048 Len=1024"
"116","3.079135","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=72705 Ack=1 Win=2048 Len=1024"
"118","3.080747","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=73729 Ack=1 Win=2048 Len=1024"
"119","3.081789","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=74753 Ack=1 Win=2048 Len=1024"
"121","3.083952","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=75777 Ack=1 Win=2048 Len=1024"
"122","3.084550","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=76801 Ack=1 Win=2048 Len=1024"
"124","3.086074","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=77825 Ack=1 Win=2048 Len=1024"
"125","3.087330","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=78849 Ack=1 Win=2048 Len=1024"
"127","3.089494","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=79873 Ack=1 Win=2048 Len=1024"
"128","3.090097","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=80897 Ack=1 Win=2048 Len=1024"
"130","3.091611","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=81921 Ack=1 Win=2048 Len=1024"
"131","3.092397","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=82945 Ack=1 Win=2048 Len=1024"
"133","3.094448","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=83969 Ack=1 Win=2048 Len=1024"
"134","3.095269","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=84993 Ack=1 Win=2048 Len=1024"
"136","3.097263","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=86017 Ack=1 Win=2048 Len=1024"
"137","3.098052","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=87041 Ack=1 Win=2048 Len=1024"
"139","3.100035","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=88065 Ack=1 Win=2048 Len=1024"
"140","3.100860","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=89089 Ack=1 Win=2048 Len=1024"
"142","3.102992","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=90113 Ack=1 Win=2048 Len=1024"
"143","3.104155","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=91137 Ack=1 Win=2048 Len=1024"
"145","3.106496","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=92161 Ack=1 Win=2048 Len=1024"
"146","3.107301","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=93185 Ack=1 Win=2048 Len=1024"
"148","3.108554","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=94209 Ack=1 Win=2048 Len=1024"
"149","3.109473","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=95233 Ack=1 Win=2048 Len=1024"
"151","3.110621","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=96257 Ack=1 Win=2048 Len=1024"
"152","3.111665","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=97281 Ack=1 Win=2048 Len=1024"
"154","3.112816","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=98305 Ack=1 Win=2048 Len=1024"
"155","3.113876","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=99329 Ack=1 Win=2048 Len=1024"
"157","3.115027","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=100353 Ack=1 Win=2048 Len=1024"
"158","3.116069","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=101377 Ack=1 Win=2048 Len=1024"
"160","3.117216","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=102401 Ack=1 Win=2048 Len=1024"
"161","3.118274","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=103425 Ack=1 Win=2048 Len=1024"
"163","3.119418","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=104449 Ack=1 Win=2048 Len=1024"
"164","3.120482","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=105473 Ack=1 Win=2048 Len=1024"
"166","3.121629","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=106497 Ack=1 Win=2048 Len=1024"
"167","3.122694","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=107521 Ack=1 Win=2048 Len=1024"
"169","3.123845","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=108545 Ack=1 Win=2048 Len=1024"
"170","3.124899","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=109569 Ack=1 Win=2048 Len=1024"
"172","3.126028","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=110593 Ack=1 Win=2048 Len=1024"
"173","3.127087","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=111617 Ack=1 Win=2048 Len=1024"
"175","3.128230","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=112641 Ack=1 Win=2048 Len=1024"
"176","3.129290","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=113665 Ack=1 Win=2048 Len=1024"
"178","3.130435","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=114689 Ack=1 Win=2048 Len=1024"
"179","3.131486","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=115713 Ack=1 Win=2048 Len=1024"
"181","3.132659","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=116737 Ack=1 Win=2048 Len=1024"
"182","3.133698","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=117761 Ack=1 Win=2048 Len=1024"
"184","3.134836","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=118785 Ack=1 Win=2048 Len=1024"
"185","3.135900","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=119809 Ack=1 Win=2048 Len=1024"
"187","3.137063","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=120833 Ack=1 Win=2048 Len=1024"
"188","3.138119","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=121857 Ack=1 Win=2048 Len=1024"
"190","3.139348","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=122881 Ack=1 Win=2048 Len=1024"
"191","3.140384","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=123905 Ack=1 Win=2048 Len=1024"
"193","3.141521","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=124929 Ack=1 Win=2048 Len=1024"
"194","3.142600","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=125953 Ack=1 Win=2048 Len=1024"
"196","3.143728","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=126977 Ack=1 Win=2048 Len=1024"
"197","3.144785","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=128001 Ack=1 Win=2048 Len=1024"
"199","3.145925","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=129025 Ack=1 Win=2048 Len=1024"
"200","3.146996","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=130049 Ack=1 Win=2048 Len=1024"
